cog-z,cog-y,cog-x,leftknee-z,leftknee-y,leftknee-x,rightknee-z,rightknee-y,rightknee-x,leftankle-z,leftankle-y,leftankle-x,rightankle-z,rightankle-y,rightankle-x,output
1.655273438,1.743164063,1.997070313,1.606445313,1.69921875,2.001953125,0.028747559,0.02813721,0.09949951,1.606445313,1.69921875,2.001953125,1.977539063,1.586914063,1.73828125,1
1.650390625,1.752929688,2.01171875,1.611328125,1.704101563,2.001953125,0.028747559,0.02813721,0.09949951,1.611328125,1.704101563,2.001953125,1.977539063,1.58203125,1.73828125,1
1.665039063,1.7578125,2.016601563,1.611328125,1.708984375,2.001953125,0.028747559,0.02813721,0.004882813,1.611328125,1.708984375,2.001953125,1.982421875,1.58203125,1.752929688,1
1.665039063,1.752929688,2.01171875,1.611328125,1.704101563,2.001953125,0.009765625,0.02813721,0.09949951,1.611328125,1.704101563,2.001953125,1.982421875,1.586914063,1.743164063,1
1.650390625,1.7578125,2.016601563,1.611328125,1.704101563,2.001953125,0.028747559,0.004882813,0.09949951,1.611328125,1.704101563,2.001953125,1.982421875,1.596679688,1.752929688,1
1.655273438,1.752929688,2.01171875,1.625976563,1.713867188,2.001953125,0.004882813,0.004882813,0.09949951,1.625976563,1.713867188,2.001953125,1.987304688,1.577148438,1.748046875,1
1.674804688,1.7578125,2.01171875,1.62109375,1.708984375,2.001953125,0.009765625,0.02813721,0.09949951,1.62109375,1.708984375,2.001953125,1.987304688,1.591796875,1.73828125,1
1.704101563,1.767578125,2.163085938,1.645507813,1.708984375,2.016601563,0.004882813,0.009765625,0.009765625,1.645507813,1.708984375,2.016601563,1.967773438,1.611328125,1.796875,1
1.6015625,1.787109375,1.948242188,1.69921875,1.704101563,2.065429688,0.028747559,0.02813721,0.09949951,1.69921875,1.704101563,2.065429688,1.977539063,1.58203125,1.728515625,1
1.704101563,1.767578125,2.01171875,1.650390625,1.66015625,2.060546875,0.028747559,0.02813721,0.004882813,1.650390625,1.66015625,2.060546875,1.997070313,1.586914063,1.762695313,1
1.66015625,1.66015625,2.202148438,1.733398438,1.69921875,2.021484375,0.004882813,0.02813721,0.014648438,1.733398438,1.69921875,2.021484375,1.93359375,1.650390625,1.77734375,1
1.264648438,2.01171875,2.158203125,1.635742188,1.674804688,2.236328125,0.028747559,0.02813721,0.09949951,1.635742188,1.674804688,2.236328125,1.938476563,1.547851563,1.689453125,1
1.684570313,1.7578125,2.006835938,1.635742188,1.655273438,2.3046875,0.004882813,0.02813721,0.09949951,1.635742188,1.655273438,2.3046875,2.045898438,1.479492188,1.71875,1
1.704101563,1.831054688,1.982421875,1.640625,1.733398438,2.006835938,0.004882813,0.02813721,0.09949951,1.640625,1.733398438,2.006835938,1.97265625,1.6015625,1.821289063,1
1.440429688,1.606445313,2.255859375,1.435546875,1.796875,2.16796875,0.028747559,0.004882813,0.004882813,1.435546875,1.796875,2.16796875,1.977539063,1.6015625,1.752929688,1
1.684570313,1.787109375,2.041015625,1.772460938,1.6796875,2.021484375,0.028747559,0.02813721,0.009765625,1.772460938,1.6796875,2.021484375,2.060546875,1.577148438,1.9140625,1
1.684570313,1.713867188,1.821289063,1.645507813,1.71875,2.036132813,0.004882813,0.02813721,0.009765625,1.645507813,1.71875,2.036132813,2.021484375,1.689453125,1.879882813,1
1.572265625,1.826171875,1.97265625,1.684570313,1.752929688,1.787109375,0.004882813,0.02813721,0.09949951,1.684570313,1.752929688,1.787109375,1.93359375,1.616210938,1.772460938,1
1.665039063,1.77734375,2.060546875,0.791015625,1.640625,2.163085938,0.014648438,0.009765625,0.01953125,0.791015625,1.640625,2.163085938,1.918945313,1.606445313,1.7578125,1
1.54296875,1.899414063,2.426757813,1.6796875,1.694335938,2.08984375,0.028747559,0.02813721,0.09949951,1.6796875,1.694335938,2.08984375,1.923828125,1.606445313,1.71875,1
1.733398438,1.77734375,2.021484375,1.689453125,1.728515625,2.275390625,0.004882813,0.004882813,0.014648438,1.689453125,1.728515625,2.275390625,1.967773438,1.396484375,1.528320313,1
1.513671875,1.8359375,1.752929688,1.611328125,1.689453125,2.016601563,0.004882813,0.004882813,0.004882813,1.611328125,1.689453125,2.016601563,1.953125,1.6015625,1.826171875,1
2.524414063,1.8359375,2.124023438,1.567382813,1.6796875,1.904296875,0.028747559,0.004882813,0.09949951,1.567382813,1.6796875,1.904296875,1.958007813,1.6015625,1.767578125,1
1.66015625,1.762695313,2.0703125,2.216796875,1.752929688,1.948242188,0.009765625,0.014648438,0.014648438,2.216796875,1.752929688,1.948242188,1.987304688,1.62109375,1.7578125,1
1.69921875,1.723632813,2.08984375,1.66015625,1.733398438,2.045898438,0.004882813,0.02813721,0.01953125,1.66015625,1.733398438,2.045898438,2.075195313,1.6015625,1.796875,1
1.73828125,1.713867188,1.997070313,1.586914063,1.69921875,1.806640625,0.014648438,0.009765625,0.01953125,1.586914063,1.69921875,1.806640625,1.987304688,1.58203125,1.826171875,1
1.665039063,1.713867188,2.231445313,1.762695313,1.645507813,2.03125,0.004882813,0.004882813,0.004882813,1.762695313,1.645507813,2.03125,1.93359375,1.616210938,1.767578125,1
